idx,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_log_prediction,raw_log_confidence,raw_linsvc_prediction,raw_linsvc_confidence,raw_knn_prediction,raw_knn_confidence,+pts_log_prediction,+pts_log_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-11-10Marshall,1,0.7347034676925228,1,0.7104515725311031,1,0.7140318307022174,1,0.7771084337349398,1,0.8077647478321884,1,0.7304251194000244,1,0.7304274587978788,1,0.7390214415837524,1,0.7347244501138713
2017-11-10Memphis,0,0.5349188806909078,1,0.5016381501935065,1,0.5345040758096292,1,0.6024096385542169,0,0.5343026149702501,0,0.5177219808101654,1,0.5075684381548949,1,0.5121951275353721,1,0.509881782800238
2017-11-10Mercer,0,0.7661601638782606,0,0.7295043203636268,0,0.743738159147405,0,0.7891566265060241,0,0.8455189540021995,0,0.7584611624479294,0,0.7564657042312335,0,0.7647120346284726,0,0.7605888693499807
2017-11-10Miami_(OH),0,0.6348174459774227,0,0.6051811834821491,0,0.6328873943362214,0,0.6204819277108434,0,0.766385017018965,0,0.6344608962535858,0,0.632319738457237,0,0.639871270802717,0,0.6360955045613021
2017-11-10Michigan_St,1,0.8478991704770392,1,0.8358133094840517,1,0.8529223905409125,1,0.8253012048192772,1,0.8087293170990675,1,0.8074281811714172,1,0.8414953826789611,1,0.8381529229335312,1,0.8398241527242702
2017-11-10Mississippi,1,0.6869576773210846,1,0.6638405992502784,1,0.6819188377291193,1,0.5843373493975904,1,0.7838984613550812,1,0.6800785064697266,1,0.6750902797529647,1,0.6748670668558764,1,0.6749786732317817
2017-11-10Missouri,0,0.5722065005285653,0,0.6088220933788997,0,0.5988564049865189,1,0.5060240963855421,1,0.5251715293066433,0,0.6464271545410156,0,0.5768136951813556,0,0.5638124220383844,0,0.5703130585570201
2017-11-10Missouri_St,0,0.5594592975316012,0,0.568434011516207,0,0.5782421479541625,0,0.5903614457831325,0,0.5234858096463797,0,0.5837376117706299,0,0.5679980677169908,0,0.5668974100422337,0,0.5674477388259555
2017-11-10Montana_St,1,0.5584979488801557,1,0.5416079999226177,1,0.5525356689359511,1,0.5602409638554217,1,0.6449475516865183,1,0.5534931421279907,1,0.5573263226390308,1,0.5631053236177991,1,0.560215823068789
2017-11-10Morehead_St,0,0.8402169097026383,0,0.8367784905551862,0,0.8450540917739998,0,0.8795180722891566,0,0.8251910998773254,0,0.8392646461725235,0,0.8434188477747919,0,0.8450885880397095,0,0.8442537178243941
2017-11-10NC-Grnsboro,0,0.8361818495368735,0,0.8200720335066634,0,0.8354453410767592,0,0.7951807228915663,0,0.9053420572696484,0,0.8330661058425903,0,0.8316480272300104,0,0.8334503976767734,0,0.8325492123670845
2017-11-10NC_State,1,0.8413062572394563,1,0.8219324613014883,1,0.8215527007306064,1,0.7650602409638554,1,0.8881509519463013,1,0.8236206769943237,1,0.8259535737054264,1,0.8251577255589081,1,0.8255556495456754
2017-11-10N_Arizona,0,0.9230881603104534,0,0.9211965658820236,0,0.9245910359833092,0,0.8734939759036144,0,0.9462613820430748,0,0.9064420238137244,0,0.9196626879193515,0,0.9177211859458847,0,0.9186919368393205
2017-11-10N_Carolina,1,0.9101928869196232,1,0.9220912131737844,1,0.9190739711766024,1,0.9096385542168676,1,0.9460923542798684,1,0.8994980454444885,1,0.9180378008499679,1,0.9191263293360714,1,0.9185820650000546
2017-11-10N_Colorado,0,0.8361237436862959,0,0.8084052425302101,0,0.8213294123233545,0,0.8734939759036144,0,0.7999645880042363,0,0.8205362111330032,0,0.825655112479117,0,0.8278260003367188,0,0.82674055632676
2017-11-10N_Florida,0,0.835347262342323,0,0.8150370175176733,0,0.8188248410391922,0,0.8072289156626506,0,0.7913550522067243,0,0.8226762115955353,0,0.8198523001124896,0,0.8171082380633249,0,0.8184802690067616
2017-11-10N_Iowa,0,0.8948129611038182,0,0.8997951993312652,0,0.9036690167955184,0,0.8795180722891566,0,0.95918762535446,0,0.8899970352649689,0,0.9009906316471599,0,0.9029603262758619,0,0.9019754788690045
